ID	pVal_enrich	subontology
GO:0030170	9.99000999000999e-4	MF
GO:0030215	9.99000999000999e-4	MF
GO:0030246	0.03496503496503497	MF
GO:0030276	9.99000999000999e-4	MF
GO:0030295	0.002997002997002997	MF
GO:0030374	9.99000999000999e-4	MF
GO:0030551	9.99000999000999e-4	MF
GO:0030552	9.99000999000999e-4	MF
GO:0030594	0.02197802197802198	MF
GO:0030674	0.024975024975024976	MF
GO:0031072	0.002997002997002997	MF
GO:0031078	9.99000999000999e-4	MF
GO:0031267	0.002997002997002997	MF
GO:0031720	9.99000999000999e-4	MF
GO:0032041	9.99000999000999e-4	MF
GO:0032182	0.03596403596403597	MF
GO:0032451	9.99000999000999e-4	MF
GO:0032452	9.99000999000999e-4	MF
GO:0033293	0.002997002997002997	MF
GO:0033558	9.99000999000999e-4	MF
GO:0034061	9.99000999000999e-4	MF
GO:0034212	9.99000999000999e-4	MF
GO:0034713	9.99000999000999e-4	MF
GO:0034979	9.99000999000999e-4	MF
GO:0035064	9.99000999000999e-4	MF
GO:0035198	9.99000999000999e-4	MF
GO:0035257	9.99000999000999e-4	MF
GO:0035258	9.99000999000999e-4	MF
GO:0036002	9.99000999000999e-4	MF
GO:0038191	9.99000999000999e-4	MF
GO:0042054	0.003996003996003996	MF
GO:0042056	9.99000999000999e-4	MF
GO:0042162	9.99000999000999e-4	MF
GO:0042169	9.99000999000999e-4	MF
GO:0042277	0.03396603396603397	MF
GO:0042393	0.001998001998001998	MF
GO:0042562	9.99000999000999e-4	MF
GO:0042625	9.99000999000999e-4	MF
GO:0042626	9.99000999000999e-4	MF
GO:0042805	9.99000999000999e-4	MF
GO:0042813	9.99000999000999e-4	MF
GO:0042826	9.99000999000999e-4	MF
GO:0043022	9.99000999000999e-4	MF
GO:0043130	0.003996003996003996	MF
GO:0043138	9.99000999000999e-4	MF
GO:0043175	9.99000999000999e-4	MF
GO:0043178	9.99000999000999e-4	MF
GO:0043236	9.99000999000999e-4	MF
GO:0043425	9.99000999000999e-4	MF
GO:0043621	9.99000999000999e-4	MF
GO:0044183	9.99000999000999e-4	MF
GO:0044325	9.99000999000999e-4	MF
GO:0044548	9.99000999000999e-4	MF
GO:0045182	0.001998001998001998	MF
GO:0045499	9.99000999000999e-4	MF
GO:0046332	9.99000999000999e-4	MF
GO:0046943	9.99000999000999e-4	MF
GO:0047485	9.99000999000999e-4	MF
GO:0048029	9.99000999000999e-4	MF
GO:0048306	9.99000999000999e-4	MF
GO:0050660	9.99000999000999e-4	MF
GO:0050661	9.99000999000999e-4	MF
GO:0050840	0.001998001998001998	MF
GO:0051018	9.99000999000999e-4	MF
GO:0051020	0.01898101898101898	MF
GO:0051087	9.99000999000999e-4	MF
GO:0051213	9.99000999000999e-4	MF
GO:0051219	9.99000999000999e-4	MF
GO:0051287	9.99000999000999e-4	MF
GO:0051371	9.99000999000999e-4	MF
GO:0051393	9.99000999000999e-4	MF
GO:0051428	9.99000999000999e-4	MF
GO:0051536	9.99000999000999e-4	MF
GO:0051537	9.99000999000999e-4	MF
GO:0051540	9.99000999000999e-4	MF
GO:0051787	9.99000999000999e-4	MF
GO:0052689	9.99000999000999e-4	MF
GO:0060090	0.03196803196803197	MF
GO:0060590	9.99000999000999e-4	MF
GO:0061630	0.002997002997002997	MF
GO:0061659	0.002997002997002997	MF
GO:0061733	9.99000999000999e-4	MF
GO:0061980	0.03196803196803197	MF
GO:0070001	9.99000999000999e-4	MF
GO:0070063	9.99000999000999e-4	MF
GO:0070279	9.99000999000999e-4	MF
GO:0070491	0.001998001998001998	MF
GO:0070717	9.99000999000999e-4	MF
GO:0070888	9.99000999000999e-4	MF
GO:0071813	9.99000999000999e-4	MF
GO:0071814	9.99000999000999e-4	MF
GO:0072341	9.99000999000999e-4	MF
GO:0072509	9.99000999000999e-4	MF
GO:0090079	0.001998001998001998	MF
GO:0098531	0.030969030969030968	MF
GO:0098631	9.99000999000999e-4	MF
GO:0098960	0.02197802197802198	MF
GO:0099094	9.99000999000999e-4	MF
GO:0099095	9.99000999000999e-4	MF
GO:0099106	9.99000999000999e-4	MF
GO:0099529	9.99000999000999e-4	MF
GO:0140030	9.99000999000999e-4	MF
GO:0140034	9.99000999000999e-4	MF
GO:0140101	9.99000999000999e-4	MF
GO:0140142	9.99000999000999e-4	MF
GO:0140375	9.99000999000999e-4	MF
GO:0140457	9.99000999000999e-4	MF
GO:1901981	0.030969030969030968	MF
GO:1902936	9.99000999000999e-4	MF
GO:1904315	9.99000999000999e-4	MF
GO:1990782	9.99000999000999e-4	MF
GO:1990841	9.99000999000999e-4	MF
